Time,Plant alarm,Water alarm,Moisture level,Ambient light
2023_05_31_21_56,0,1,1,64
2023_05_31_21_57,0,1,0,64
2023_05_31_21_58,0,1,0,64
2023_05_31_21_59,0,1,0,64
2023_05_31_22_00,0,1,1,64
2023_05_31_22_01,0,1,0,64
2023_05_31_22_02,0,1,0,64
2023_05_31_22_03,0,1,0,64
2023_05_31_22_04,0,1,0,64
2023_05_31_22_05,0,1,0,64
2023_05_31_22_06,0,1,1,64
2023_05_31_22_07,0,1,0,64
2023_05_31_22_08,0,1,0,64
2023_05_31_22_09,0,1,0,64
2023_05_31_22_10,0,1,0,64
2023_05_31_22_11,0,1,0,64
2023_05_31_22_12,0,1,0,64
2023_05_31_22_13,0,1,1,64
2023_05_31_22_14,0,1,1,64
2023_05_31_22_15,0,1,0,64
2023_05_31_22_16,0,1,1,63
2023_05_31_22_17,0,1,0,63
2023_05_31_22_18,0,1,0,63
2023_05_31_22_19,0,1,1,63
2023_05_31_22_20,0,1,0,63
2023_05_31_22_21,0,1,0,63
2023_05_31_22_22,0,1,1,63
2023_05_31_22_23,0,1,1,63
2023_05_31_22_24,0,1,0,63
2023_05_31_22_25,0,1,1,63
2023_05_31_22_26,0,1,1,64
2023_05_31_22_27,0,1,0,63
2023_05_31_22_28,0,1,0,63
2023_05_31_22_29,0,1,0,63
2023_05_31_22_30,0,1,0,64
2023_05_31_22_31,0,1,0,63
2023_05_31_22_32,0,1,1,64
2023_05_31_22_33,1,0,0,61
2023_05_31_22_34,1,0,1,60
2023_05_31_22_35,1,0,0,60
2023_05_31_22_36,0,1,0,60
2023_05_31_22_37,1,0,0,61
2023_05_31_22_38,1,0,0,61
2023_05_31_22_39,1,0,1,62
2023_05_31_22_40,1,0,0,60
2023_05_31_22_41,1,0,0,62
2023_05_31_22_42,1,0,0,62
2023_05_31_22_43,1,0,1,62
2023_05_31_22_44,1,0,0,63
2023_05_31_22_45,1,0,1,63
2023_05_31_22_46,1,0,0,62
2023_05_31_22_47,1,0,1,63
2023_05_31_22_48,1,0,0,62
2023_05_31_22_49,1,0,0,62
2023_05_31_22_50,1,0,0,62
2023_05_31_22_51,1,0,1,63
2023_05_31_22_52,1,0,1,62
2023_05_31_22_53,1,0,1,63
2023_05_31_22_54,1,0,1,63
2023_05_31_22_55,1,0,0,63
2023_05_31_22_56,1,0,0,63
2023_05_31_22_57,1,0,0,63
2023_05_31_22_58,1,0,65,61
2023_05_31_22_59,1,0,0,63
2023_05_31_23_00,1,0,0,62
2023_05_31_23_01,1,0,1,62
2023_05_31_23_02,1,0,0,62
2023_05_31_23_03,1,0,0,61
2023_05_31_23_04,1,0,0,62
2023_05_31_23_05,1,0,1,62
2023_05_31_23_06,1,0,1,61
2023_05_31_23_07,1,0,0,62
2023_05_31_23_08,1,0,0,61
2023_05_31_23_09,1,0,1,61
2023_05_31_23_10,1,0,0,61
2023_05_31_23_11,1,0,0,62
2023_05_31_23_12,1,0,0,62
2023_05_31_23_13,1,0,0,62
2023_05_31_23_14,1,0,0,62
2023_05_31_23_15,1,0,1,59
2023_05_31_23_16,1,0,1,61
2023_05_31_23_17,1,0,0,62
2023_05_31_23_18,1,0,0,63
2023_05_31_23_19,1,0,1,60
2023_05_31_23_20,1,0,0,63
2023_05_31_23_21,1,0,1,62
2023_05_31_23_22,1,0,1,62
2023_05_31_23_23,1,0,1,62
2023_05_31_23_24,1,0,0,58
2023_05_31_23_25,1,0,1,61
